Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SA0,1963,M02,1963 Feb,30.48,1.2
CUSR0000SA0,1963,M03,1963 Mar,30.51,1.1
CUSR0000SA0,1963,M04,1963 Apr,30.48,0.9
CUSR0000SA0,1963,M05,1963 May,30.51,0.9
CUSR0000SA0,1963,M06,1963 Jun,30.61,1.3
CUSR0000SA0,1963,M07,1963 Jul,30.69,1.6
CUSR0000SA0,1963,M08,1963 Aug,30.75,1.6
CUSR0000SA0,1963,M09,1963 Sep,30.72,1.0
CUSR0000SA0,1963,M10,1963 Oct,30.75,1.2
CUSR0000SA0,1963,M11,1963 Nov,30.78,1.3
CUSR0000SA0,1963,M12,1963 Dec,30.88,1.6
CUSR0000SA0,1964,M01,1964 Jan,30.94,1.6
CUSR0000SA0,1964,M02,1964 Feb,30.91,1.4
CUSR0000SA0,1964,M03,1964 Mar,30.94,1.4
CUSR0000SA0,1964,M04,1964 Apr,30.95,1.5
CUSR0000SA0,1964,M05,1964 May,30.98,1.5
CUSR0000SA0,1964,M06,1964 Jun,31.01,1.3
CUSR0000SA0,1964,M07,1964 Jul,31.02,1.1
CUSR0000SA0,1964,M08,1964 Aug,31.05,1.0
CUSR0000SA0,1964,M09,1964 Sep,31.08,1.2
CUSR0000SA0,1964,M10,1964 Oct,31.12,1.2
CUSR0000SA0,1964,M11,1964 Nov,31.21,1.4
CUSR0000SA0,1964,M12,1964 Dec,31.25,1.2
CUSR0000SA0,1965,M01,1965 Jan,31.28,1.1
CUSR0000SA0,1965,M02,1965 Feb,31.28,1.2
CUSR0000SA0,1965,M03,1965 Mar,31.31,1.2
CUSR0000SA0,1965,M04,1965 Apr,31.38,1.4
CUSR0000SA0,1965,M05,1965 May,31.48,1.6
CUSR0000SA0,1965,M06,1965 Jun,31.61,1.9
CUSR0000SA0,1965,M07,1965 Jul,31.58,1.8
CUSR0000SA0,1965,M08,1965 Aug,31.55,1.6
CUSR0000SA0,1965,M09,1965 Sep,31.62,1.7
CUSR0000SA0,1965,M10,1965 Oct,31.65,1.7
CUSR0000SA0,1965,M11,1965 Nov,31.75,1.7
CUSR0000SA0,1965,M12,1965 Dec,31.85,1.9
CUSR0000SA0,1966,M01,1966 Jan,31.88,1.9
CUSR0000SA0,1966,M02,1966 Feb,32.08,2.6
CUSR0000SA0,1966,M03,1966 Mar,32.18,2.8
CUSR0000SA0,1966,M04,1966 Apr,32.28,2.9
CUSR0000SA0,1966,M05,1966 May,32.35,2.8
CUSR0000SA0,1966,M06,1966 Jun,32.38,2.4
CUSR0000SA0,1966,M07,1966 Jul,32.45,2.8
CUSR0000SA0,1966,M08,1966 Aug,32.65,3.5
CUSR0000SA0,1966,M09,1966 Sep,32.75,3.6
CUSR0000SA0,1966,M10,1966 Oct,32.85,3.8
CUSR0000SA0,1966,M11,1966 Nov,32.88,3.6
CUSR0000SA0,1966,M12,1966 Dec,32.92,3.4
CUSR0000SA0,1967,M01,1967 Jan,32.90,3.2
CUSR0000SA0,1967,M02,1967 Feb,33.00,2.9
CUSR0000SA0,1967,M03,1967 Mar,33.00,2.5
CUSR0000SA0,1967,M04,1967 Apr,33.10,2.5
CUSR0000SA0,1967,M05,1967 May,33.10,2.3
CUSR0000SA0,1967,M06,1967 Jun,33.30,2.8
CUSR0000SA0,1967,M07,1967 Jul,33.40,2.9
CUSR0000SA0,1967,M08,1967 Aug,33.50,2.6
CUSR0000SA0,1967,M09,1967 Sep,33.60,2.6
CUSR0000SA0,1967,M10,1967 Oct,33.70,2.6
CUSR0000SA0,1967,M11,1967 Nov,33.90,3.1
CUSR0000SA0,1967,M12,1967 Dec,34.00,3.3
CUSR0000SA0,1968,M01,1968 Jan,34.10,3.6
CUSR0000SA0,1968,M02,1968 Feb,34.20,3.6
CUSR0000SA0,1968,M03,1968 Mar,34.30,3.9
CUSR0000SA0,1968,M04,1968 Apr,34.40,3.9
CUSR0000SA0,1968,M05,1968 May,34.50,4.2
CUSR0000SA0,1968,M06,1968 Jun,34.70,4.2
CUSR0000SA0,1968,M07,1968 Jul,34.90,4.5
CUSR0000SA0,1968,M08,1968 Aug,35.00,4.5
CUSR0000SA0,1968,M09,1968 Sep,35.10,4.5
CUSR0000SA0,1968,M10,1968 Oct,35.30,4.7
CUSR0000SA0,1968,M11,1968 Nov,35.40,4.4
CUSR0000SA0,1968,M12,1968 Dec,35.60,4.7
CUSR0000SA0,1969,M01,1969 Jan,35.70,4.7
CUSR0000SA0,1969,M02,1969 Feb,35.80,4.7
CUSR0000SA0,1969,M03,1969 Mar,36.10,5.2
CUSR0000SA0,1969,M04,1969 Apr,36.30,5.5
CUSR0000SA0,1969,M05,1969 May,36.40,5.5
CUSR0000SA0,1969,M06,1969 Jun,36.60,5.5
CUSR0000SA0,1969,M07,1969 Jul,36.80,5.4
